"Observation URL","Observation Date",Latitude,Longitude,"Device Model","Astronomical  Constellation"
https://anecdata.org/posts/view/105934,"2020-03-02 23:51:41",15.610915,120.612063,"HUAWEI / CLT-L29",Virgo
https://anecdata.org/posts/view/105924,"2020-01-30 01:17:39",42.725121,-78.932478,"Nikon D3400","Ursa minor"
https://anecdata.org/posts/view/105920,"2020-03-02 20:15:06",53.518137,-113.506912,"samsung / SM-G950W",-
https://anecdata.org/posts/view/105786,"2020-03-01 21:53:04",51.352857,-0.668222,"samsung / SM-N976B",-
https://anecdata.org/posts/view/105785,"2019-12-31 03:34:41",36.135784,-95.534535,"Canon 7d II",Orion
https://anecdata.org/posts/view/105783,"2020-02-02 02:11:45",36.135784,-95.534535,"Canon 1dX 75mm",Casssiopeia
https://anecdata.org/posts/view/105731,"2020-03-01 15:52:56",52.279358,8.880213,"samsung / SM-G960F",-
https://anecdata.org/posts/view/105721,"2020-02-29 19:12:30",51.878080,0.172986,"HUAWEI / PCT-L29","Starlink 1 and Starlink 0.9"
https://anecdata.org/posts/view/105719,"2020-03-01 10:37:03",39.011540,-77.086189,"Galaxy S9plus",Lyra
https://anecdata.org/posts/view/104507,"2020-02-09 13:04:21",39.014068,-77.087915,"Apple / iPhone8,1",Test
